processo,classe,data_retratacao,temas_rg,data_acordao,dias_ate_acordao,desfecho_turma,n_comunicacoes_depois,n_despachos_depois,trecho
0024875-24.2014.4.03.0000,Agravo em Recurso Especial,2025-10-28,339,2026-08-21,297,indefinido,13,9,"Vistos e relatados estes autos em que são partes as acima indicadas, acordam os Ministros da Corte Especial por unanimidade, negar provimento ao agravo regimental, nos termos do voto do Sr. Relator. O"
5000224-43.2021.8.24.0139,Agravo em Recurso Especial,2026-04-22,"660,712",2026-06-15,54,indefinido,4,1,"Vistos e relatados estes autos em que são partes as acima indicadas, acordam os Ministros da Turma, por unanimidade, em juizo de retratação, ratificou o voto no sentido de negar provimento ao agravo r"
